URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,AVG_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,0.124,0.036,0.9992,0.9992,25,24.95774648,19.98309859,25,443,1775,1.68,20,5.326760563
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,0.132,0.019,0.9994,0.9994,24.64285714,20.9178744,18.22429262,24.64285714,433,2070,1.657971014,53,5.188888889
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,0.158,0.011,0.9988,0.9988,30.37931034,22.58796822,21.18691143,30.37931034,199,881,1.639046538,26,5.247446084
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0.127,0.042,0.9987,0.9987,19.61643836,19.76256983,15.75160328,19.61643836,283,1432,1.476256983,29,4.951815642
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,0.192,0.051,0.9997,0.9997,24.796875,20.85696282,18.26153513,24.796875,331,1587,1.557655955,38,5.13673598
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,0.192,0.051,0.9997,0.9997,24.796875,20.85696282,18.26153513,24.796875,331,1587,1.557655955,38,5.13673598
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,0.117,0.018,0.9989,0.9989,21.74626866,21.68840082,17.37386779,21.74626866,316,1457,1.541523679,35,5.085792725
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,0.103,0.021,0.9977,0.9977,29.20408163,21.3137666,20.20713929,29.20408163,305,1431,1.522711391,23,5.100628931
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,0.13,0.011,0.9996,0.9996,21.63636364,20.86834734,17.00188439,21.63636364,447,2142,1.509803922,106,4.877217554
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0.21,0.009,0.9994,0.9994,28.13793103,17.03431373,18.0688979,28.13793103,139,816,1.481617647,38,4.801470588
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,0.102,0.094,0.8944,0.8944,25.68518519,22.71088681,19.3584288,25.68518519,315,1387,1.638067772,35,5.111031002
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,0.093,0.058,0.9523,0.9523,22.16129032,20.52401747,17.07412312,22.16129032,141,687,1.557496361,22,4.908296943
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,0.134,0.034,0.9994,0.9994,25.64705882,16.80045872,16.97900702,25.64705882,293,1744,1.510321101,44,4.739105505
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,0.131,0.014,0.9976,0.9976,34.08,22.18309859,22.50523944,34.08,189,852,1.535211268,19,5.005868545
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,0.086,0.035,0.9957,0.9957,46.1,14.82284888,24.36913955,46.1,205,1383,1.349963847,43,4.559652928
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,0.086,0.031,0.9922,0.9922,27.37777778,20.53571429,19.16539683,27.37777778,253,1232,1.508928571,23,4.875811688
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,0.113,0.058,0.9973,0.9973,29.71929825,15.05312869,17.90897077,29.71929825,255,1694,1.402597403,63,4.461038961
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,0.141,0.04,0.9993,0.9993,34.25581395,18.3299389,21.03430114,34.25581395,270,1473,1.460285132,38,4.955193483
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.141,0.041,0.9997,0.9997,27.8,20.81834532,19.44733813,27.8,463,2224,1.601169065,37,5.207284173
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.143,0.076,0.9987,0.9987,22.16666667,14.28571429,14.58095238,22.16666667,266,1862,1.398496241,70,4.457572503
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.076,0.034,0.9936,0.9936,23.95505618,19.88742964,17.53699433,23.95505618,424,2132,1.592870544,45,4.977016886
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.14,0.041,0.9995,0.9995,20.80208333,15.57336004,14.55017735,20.80208333,311,1997,1.476214321,66,4.559339009
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.143,0.045,0.9996,0.9996,26.62962963,17.15345387,17.5132334,26.62962963,370,2157,1.472878999,76,4.694019471
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.158,0.035,0.9996,0.9996,27.4,15.93673966,17.33469586,27.4,262,1644,1.45620438,84,4.630170316
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.1,0.022,0.9969,0.9969,21.69387755,17.40357479,15.63898094,21.69387755,185,1063,1.477892756,31,4.780809031
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.084,0.014,0.9169,0.9169,41,25.6097561,26.64390244,41,63,246,1.658536585,8,5.479674797
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.153,0.044,0.9988,0.9988,25.575,14.46725318,16.01690127,25.575,148,1023,1.408602151,49,4.637341153
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.143,0.044,0.9998,0.9998,31.03529412,16.83093252,19.14649066,31.03529412,444,2638,1.472706596,89,4.603108415
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.116,0.091,0.9953,0.9953,26.12765957,14.82084691,16.37940259,26.12765957,364,2456,1.337540717,152,4.518322476
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.129,0.048,0.999,0.999,24.5,20.86899276,18.1475971,24.5,317,1519,1.608294931,47,5.117840685
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.129,0.058,0.9987,0.9987,19.21176471,16.41151255,14.2493109,19.21176471,268,1633,1.425597061,33,4.622167789
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.137,0.034,0.9997,0.9997,31.07692308,14.25742574,18.13373953,31.07692308,288,2020,1.475247525,95,4.637623762
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.155,0.025,0.9997,0.9997,23.35294118,17.68261965,16.41422433,23.35294118,351,1985,1.504785894,55,4.709319899
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.112,0.007,0.9964,0.9964,30.42307692,22.12389381,21.01878829,30.42307692,175,791,1.609355247,20,5.154235145
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.143,0.05,0.9996,0.9996,162.6153846,15.46830653,71.23347646,162.6153846,327,2114,1.531220435,80,4.70577105
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.132,0.005,0.9988,0.9988,21.5,20.18604651,16.6744186,21.5,217,1075,1.505116279,41,4.83255814
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.094,0.015,0.9962,0.9962,23.02222222,23.64864865,18.66834835,23.02222222,245,1036,1.595559846,17,5.033783784
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.094,0.032,0.9648,0.9648,38.63636364,22.82352941,24.58395722,38.63636364,97,425,1.616470588,11,5.261176471
blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.084,0.014,0.9169,0.9169,41,25.6097561,26.64390244,41,63,246,1.658536585,8,5.479674797
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.073,0.093,-0.9937,-0.9937,29.16666667,16.85714286,18.40952381,29.16666667,295,1750,1.480571429,34,4.814857143
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.075,0.02,0.9931,0.9931,31.09090909,18.81091618,19.96073011,31.09090909,193,1026,1.509746589,27,4.804093567
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.156,0.057,0.9997,0.9997,20.65789474,15.83864119,14.59861437,20.65789474,373,2355,1.446284501,68,4.529087049
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0.166,0.006,0.9993,0.9993,20.125,19.56521739,15.87608696,20.125,189,966,1.549689441,34,4.866459627
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0.105,0.003,0.995,0.995,30.42857143,16.90140845,18.93199195,30.42857143,108,639,1.458528951,24,4.949921753
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0.099,0.013,0.9973,0.9973,29.12820513,15.49295775,17.84846515,29.12820513,176,1136,1.424295775,40,4.63028169
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0.099,0.021,0.993,0.993,31.83333333,20.94240838,21.11029668,31.83333333,160,764,1.55104712,14,4.994764398
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0.171,0.025,0.9984,0.9984,20.59375,19.27162367,15.94614947,20.59375,127,659,1.572078907,23,4.97723824
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0.094,0.018,0.9741,0.9741,26.8,23.88059701,20.27223881,26.8,96,402,1.7039801,13,5.313432836
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,0.128,0.134,-0.939,-0.939,19.53333333,13.8225256,13.34234357,19.53333333,162,1172,1.395051195,103,4.436860068
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,0.177,0.018,0.996,0.996,30.57142857,19.85981308,20.17249666,30.57142857,85,428,1.546728972,16,4.992990654
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,0.132,0.027,0.9979,0.9979,27.38888889,19.67545639,18.82573811,27.38888889,194,986,1.542596349,28,5.205882353
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,0.084,0.064,0.6567,0.6567,43.55555556,21.17346939,25.89160998,43.55555556,83,392,1.525510204,16,5.068877551
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,0.094,0.109,-0.9483,-0.9483,24.5,18.36734694,17.14693878,24.5,117,637,1.519623234,43,4.777080063
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,0.055,0.044,0.4044,0.4044,28.15384615,20.30965392,19.38540003,28.15384615,446,2196,1.52003643,63,4.869763206
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,0.113,0.041,0.9992,0.9992,29.1369863,14.3864598,17.40937844,29.1369863,306,2127,1.41984015,64,4.551951105
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,0.108,0.046,0.9987,0.9987,22.02325581,14.57233369,14.6382358,22.02325581,276,1894,1.360084477,64,4.493664203
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,0.126,0.046,0.9984,0.9984,18.13636364,14.11862991,12.90199742,18.13636364,169,1197,1.367585631,84,4.396825397
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,0.123,0.02,0.9996,0.9996,26.62318841,13.50027218,16.04938424,26.62318841,248,1837,1.334784976,89,4.273816004
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,0.145,0.028,0.9967,0.9967,37.55,19.0412783,22.63651132,37.55,143,751,1.496671105,35,4.659121172
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,0.128,0.022,0.9996,0.9996,27.28378378,17.08766716,17.74858038,27.28378378,345,2019,1.496780584,39,4.767706786
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,0.151,0.163,-0.9798,-0.9798,17.02469136,13.19796954,12.08906436,17.02469136,182,1379,1.350253807,111,4.430021755
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,0.16,0.053,0.9995,0.9995,18.67857143,13.32058636,12.79966312,18.67857143,209,1569,1.345442957,120,4.337157425
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,0.133,0.092,0.995,0.995,28.1875,14.92978566,17.24691426,28.1875,202,1353,1.396156689,28,4.626755358
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,0.124,0.054,0.9984,0.9984,22.6,18.9373297,16.61493188,22.6,278,1468,1.523841962,47,4.824250681
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,0.15,0.162,-0.9796,-0.9796,18.22077922,13.39985745,12.64825467,18.22077922,188,1403,1.359230221,111,4.458303635
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,0.093,0.038,0.9909,0.9909,28.79411765,18.48825332,18.91294839,28.79411765,181,979,1.472931563,29,4.681307457
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,0.097,0.032,0.98,0.98,36.93333333,20.03610108,22.78777377,36.93333333,111,554,1.536101083,14,4.958483755
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,0.098,0.034,0.9934,0.9934,36.10344828,18.8156638,21.96764483,36.10344828,197,1047,1.538681948,18,5.00191022
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,0.068,0.087,-0.982,-0.982,26.29508197,16.64588529,17.1763869,26.29508197,267,1604,1.420822943,41,4.72319202
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,0.095,0.078,0.9986,0.9986,21.09045226,11.77031213,13.14430576,21.09045226,494,4197,1.241839409,34,4.427448177
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,0.071,0.038,0.9929,0.9929,24.59770115,16.68224299,16.51197766,24.59770115,357,2140,1.471962617,69,4.709345794
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,0.079,0.055,0.9871,0.9871,29.359375,22.99095263,20.94013105,29.359375,432,1879,1.601383715,25,5.058541778
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,0.099,0.008,0.9823,0.9823,35.63636364,20.66326531,22.51985158,35.63636364,81,392,1.520408163,18,4.99744898
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,0.134,0.009,0.9991,0.9991,28.37209302,14.50819672,17.1521159,28.37209302,177,1220,1.359016393,50,4.55
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,0.095,0.045,0.9987,0.9987,18.08870968,16.80784663,13.95862252,18.08870968,377,2243,1.444939813,66,4.619705751
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,0.154,0.017,0.9998,0.9998,22.50526316,16.13657624,15.45673576,22.50526316,345,2138,1.380729654,87,4.585594013
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,0.104,0.064,0.9942,0.9942,27.64705882,16.24113475,17.55527743,27.64705882,229,1410,1.441843972,42,4.736879433
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,0.067,0.071,-0.088,-0.088,32.67692308,19.5386064,20.88621179,32.67692308,415,2124,1.507062147,20,4.926082863
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,0.091,0.094,-0.8454,-0.8454,25,17.30769231,16.92307692,25,225,1300,1.473846154,33,4.763076923
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,0.124,0.099,0.9768,0.9768,20.08974359,16.33694959,14.57067727,20.08974359,256,1567,1.468410976,71,4.592852585
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,0.114,0.055,0.9978,0.9978,33.21428571,18.85304659,20.82693292,33.21428571,263,1395,1.574193548,47,4.86953405
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,0.087,0.112,-0.992,-0.992,26.38333333,17.11939356,17.40109076,26.38333333,271,1583,1.421351864,24,4.829437776
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,0.103,0.012,0.9888,0.9888,31.28571429,19.17808219,20.18551859,31.28571429,84,438,1.488584475,18,4.892694064
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,0.107,0.115,-0.9745,-0.9745,22.49253731,15.85932316,15.34074419,22.49253731,239,1507,1.445919044,85,4.566688786
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,0.081,0.079,0.244,0.244,24.25641026,16.91331924,16.4678918,24.25641026,160,946,1.416490486,23,4.753699789
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,0.077,0.132,-0.9982,-0.9982,26.62962963,20.44506259,18.82987689,26.62962963,294,1438,1.577190542,13,5.043810848
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,0.097,0.085,0.8857,0.8857,33.97619048,15.27680448,19.70119798,33.97619048,218,1427,1.412754029,52,4.505255781
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,0.074,0.008,0.9638,0.9638,43.77777778,24.61928934,27.35882685,43.77777778,97,394,1.609137056,9,5.205583756
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,0.127,0.03,0.9961,0.9961,26,14.90384615,16.36153846,26,124,832,1.393028846,24,4.689903846
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0.093,0.12,-0.9936,-0.9936,37.14705882,17.97307997,22.04805552,37.14705882,227,1263,1.478226445,21,4.893111639
